기간,자치구,의료기관_총_합계,종합병원,10만명 당 의료기관 수,10만명 당 종합병원 수
2018,강남구,2594,4,478.2765817790266,0.737512076760257
2018,강동구,771,3,180.3200856929694,0.7016345746808147
2018,강북구,450,1,140.9933451141106,0.3133185446980236
2018,강서구,802,4,134.34983558059398,0.6700739929206683
2018,관악구,681,2,135.66899156700674,0.3984405038678612
2018,광진구,553,2,155.52974330561173,0.5624945508340389
2018,구로구,556,2,137.45466591841225,0.4944412443108354
2018,금천구,339,1,144.9231992544364,0.4275020626974525
2018,노원구,717,3,131.86158395739233,0.5517221086083361
2018,도봉구,364,1,107.24397710164314,0.29462631071879986
2018,동대문구,603,5,173.24997414179492,1.4365669497661269
2018,동작구,570,2,143.8656446316661,0.5047917355497056
2018,마포구,715,0,190.62752448163977,0.0
2018,서대문구,430,2,138.56976665495807,0.6445105425812003
2018,서초구,1201,1,276.75935762332614,0.23044076404939728
2018,성동구,432,1,140.159171503564,0.3244425266286204
2018,성북구,530,1,121.59644663063129,0.22942725779364395
2018,송파구,1129,2,169.35804450711407,0.3000142506769072
2018,양천구,627,2,135.07545482943223,0.4308626948307248
2018,영등포구,738,7,200.66453132052487,1.9033221127963063
2018,용산구,304,1,132.75167140467863,0.4366831296206534
2018,은평구,644,1,133.27897317243279,0.2069549272863863
2018,종로구,496,4,324.04534021494135,2.61326887270114
2018,중구,558,3,443.8258103002585,2.3861602704314975
2018,중랑구,498,3,123.50914786128287,0.7440310112125473
