기간,자치구,의료기관_총_합계,종합병원,10만명 당 의료기관 수,10만명 당 종합병원 수
2017,강남구,2559,4,460.1160808682331,0.7192123186685941
2017,강동구,761,3,174.45205777778796,0.6877216469558001
2017,강북구,447,1,137.75930029370159,0.30818635412461204
2017,강서구,777,3,129.1360515613496,0.49859479367316445
2017,관악구,673,2,133.71826178181072,0.3973796784006263
2017,광진구,543,2,151.80191387827333,0.5591230713748557
2017,구로구,557,2,135.60824069610607,0.48692366497704154
2017,금천구,330,1,140.3335686401252,0.4252532383034097
2017,노원구,717,3,129.32830450051677,0.5411226129728735
2017,도봉구,367,1,106.6345891226908,0.2905574635495662
2017,동대문구,605,5,172.53819368196505,1.4259354849749177
2017,동작구,560,2,141.33669176234235,0.5047738991512227
2017,마포구,717,0,191.2433484923249,0.0
2017,서대문구,432,2,138.1074168797954,0.639386189258312
2017,서초구,1229,1,278.62036445085266,0.22670493445960346
2017,성동구,432,1,141.72856355476233,0.3280753785989869
2017,성북구,525,1,118.22859780882999,0.2251973291596762
2017,송파구,1106,2,166.44193494016517,0.30097999085020827
2017,양천구,621,2,131.80403859459963,0.4244896573094996
2017,영등포구,729,7,197.8021978021978,1.8993352326685662
2017,용산구,298,1,130.03957916050288,0.4363744267130969
2017,은평구,623,1,127.98021339622099,0.20542570368574797
2017,종로구,500,4,323.06002455256186,2.584480196420495
2017,중구,543,3,431.9499797150562,2.386463976326277
2017,중랑구,491,3,120.27651349987507,0.7348870478607438
