기간,자치구,의료기관_총_합계,종합병원,10만명 당 의료기관 수,10만명 당 종합병원 수
2019,강남구,2643,4,484.80379478657073,0.7337174344102471
2019,강동구,789,3,180.93549844404646,0.6879676746921918
2019,강북구,461,1,146.8367977474407,0.31851799945214904
2019,강서구,836,4,141.26489533555483,0.6759085901222719
2019,관악구,693,1,138.5739480977576,0.19996240706747131
2019,광진구,552,2,157.1082965703714,0.5692329585883023
2019,구로구,559,2,137.4599177699526,0.49180650364920425
2019,금천구,356,1,152.91439371161033,0.4295348137966582
2019,노원구,725,3,136.04676255617792,0.5629521209221156
2019,도봉구,369,1,110.6904806186668,0.2999742022186092
2019,동대문구,607,4,175.33521667042177,1.155421526658463
2019,동작구,576,2,145.46813717443297,0.5050976985223367
2019,마포구,730,0,195.1689013060275,0.0
2019,서대문구,435,2,140.59606266382673,0.6464186789141458
2019,서초구,1226,1,284.5696406437866,0.23211226806181615
2019,성동구,444,1,147.5627224657598,0.33234847402198153
2019,성북구,528,1,119.28159945781091,0.22591212018524792
2019,송파구,1165,2,172.34722121542515,0.29587505788055823
2019,양천구,626,3,136.63199938886643,0.6547859395632577
2019,영등포구,756,7,205.61469546722947,1.9038397728447174
2019,용산구,307,1,134.25460270258452,0.4373114094546727
2019,은평구,662,2,137.90747283514432,0.4166388907406173
2019,종로구,494,4,326.5252164716769,2.6439288783131736
2019,중구,560,2,443.8420873259307,1.585150311878324
2019,중랑구,511,3,128.71050212208607,0.7556389557069633
