,Date,Pfizer
1,2019 8월,NONE
2,2019 9월,NONE
3,2019 10월,https://finance.yahoo.com/news/closer-look-pfizer-inc-nyse-145717805.html
4,2019 11월,NONE
5,2019 12월,https://finance.yahoo.com/news/pfizer-pfe-sees-difficult-2019-134101891.html
6,,https://finance.yahoo.com/news/pfizer-pfe-stock-sinks-market-224510022.html
7,2020 1월,NONE
8,2020 2월,NONE
9,2020 3월,https://finance.yahoo.com/news/pfizer-stock-falls-8-093300315.html
10,2020 4월,NONE
11,2020 5월,https://finance.yahoo.com/news/pfizer-loses-6-disappointing-ibrance-061646326.html
12,2020 6월,https://finance.yahoo.com/news/top-research-reports-pfizer-comcast-181206427.html
13,2020 7월,https://finance.yahoo.com/news/coronavirus-update-pfizer-strikes-covid-vaccine-deal-with-us-as-trump-issues-dire-warning-164001082.html
14,,https://finance.yahoo.com/news/pfizer-inc-nyse-pfe-pays-132737161.html
15,2020 8월,NONE
16,2020 9월,https://finance.yahoo.com/news/pfizer-stock-buy-now-know-231314764.html
17,,https://finance.yahoo.com/news/covid-19-coronavirus-vaccine-pfizer-ceo-americans-us-to-get-114000117.html
18,,https://finance.yahoo.com/news/pfizer-inc-nyse-pfe-popular-160251602.html
19,,https://finance.yahoo.com/news/why-pfizer-seriously-mispriced-171339520.html
20,2020 10월,https://finance.yahoo.com/news/pfizers-pfe-oncology-drugs-drive-110011599.html
21,2020 11월,https://finance.yahoo.com/news/value-investors-pick-pfizer-pfe-144002510.html
22,,https://finance.yahoo.com/news/pfizer-pfe-good-stock-buy-163603879.html
23,,https://finance.yahoo.com/news/might-not-great-idea-buy-125938200.html
24,,https://finance.yahoo.com/news/sales-pfizers-covid-vaccine-could-222052811.html
25,2020 12월,https://finance.yahoo.com/news/pfizer-pfe-dips-more-broader-224510740.html
26,2021 1월,https://finance.yahoo.com/news/might-not-great-idea-buy-080929811.html
27,,https://finance.yahoo.com/news/why-pfizer-long-term-investor-184652087.html
28,,https://finance.yahoo.com/news/pfizer-pfe-stock-sinks-market-224510596.html
29,2021 2월,https://finance.yahoo.com/news/pfizer-inc-undervalued-dividend-growth-180147335.html
30,,https://finance.yahoo.com/news/why-pfizer-shares-trading-yearly-163628428.html
31,2021 3월,https://finance.yahoo.com/news/pfizer-pfe-outpaces-stock-market-224510758.html
32,,https://finance.yahoo.com/news/pfizer-pfe-stock-buy-sell-151024767.html
33,,https://finance.yahoo.com/news/pfizer-stock-estimated-fairly-valued-041211154.html
34,2021 4월,https://finance.yahoo.com/news/1-korea-signs-pfizer-additional-092837575.html
35,,https://finance.yahoo.com/news/pfizer-pfe-gains-market-dips-214509877.html
36,2021 5월,https://finance.yahoo.com/news/pfizer-ceo-our-stock-is-undervalued-185431769.html
37,,https://finance.yahoo.com/news/smart-money-pfizer-inc-pfe-201716708.html
38,,https://finance.yahoo.com/news/why-pfizer-top-pick-dividend-215406299.html
39,,https://finance.yahoo.com/news/pfizer-covid-vaccine-set-become-202537952.html
40,2021 6월,https://finance.yahoo.com/news/pfizer-pfe-outpaces-stock-market-214509397.html
41,,https://finance.yahoo.com/news/pfizer-inc-pfe-good-stock-184715603.html
42,2021 7월,https://finance.yahoo.com/news/1-pfizer-raises-estimates-2021-105303806.html
43,,https://finance.yahoo.com/news/pfizer-pfe-stock-moves-0-214509243.html
44,,https://finance.yahoo.com/news/pfizer-q2-results-beat-wall-110603243.html
45,,https://finance.yahoo.com/news/pfizer-pfe-q2-earnings-revenues-120512772.html
46,2021 8월,https://finance.yahoo.com/news/were-hedge-funds-pfizer-inc-144016613.html
47,,https://finance.yahoo.com/news/pfizer-shares-hit-record-high-200700298.html
48,,https://finance.yahoo.com/news/pfizer-inc-52-week-high-173005876.html
49,2021 9월,NONE
