Date,SHV,next_month,nnext_month,yield
2019-07-31,108.88483725816884,109.09185546681542,109.38225833866603,0.00456832276212887
2019-08-31,109.13130289240456,109.38225833866603,109.45756050160969,0.002989587776907557
2019-09-30,109.09185546681542,109.45756050160969,109.64500729597242,0.005070514446656059
2019-10-31,109.38225833866603,109.64500729597242,109.81375300700189,0.003944832323719974
2019-11-30,109.45756050160969,109.81375300700189,110.05344243360754,0.005443954070117327
2019-12-31,109.64500729597242,110.05344243360754,110.51171374389962,0.00790465949432279
2020-01-31,109.81375300700189,110.51171374389962,110.53550623995189,0.006572521320749079
2020-02-29,110.05344243360754,110.53550623995189,110.5067619414139,0.004119085216982938
2020-03-31,110.51171374389962,110.5067619414139,110.52774756847272,0.00014508710461459885
2020-04-30,110.53550623995189,110.52774756847272,110.52774756847272,-7.019166730302751e-05
2020-05-31,110.5067619414139,110.52774756847272,110.5236110799542,0.00015247156141655091
2020-06-30,110.52774756847272,110.5236110799542,110.51776446877197,-9.03221129568635e-05
2020-07-31,110.52774756847272,110.51776446877197,110.53064223429938,2.6189494406061494e-05
2020-08-31,110.5236110799542,110.53064223429938,110.5079020773266,-0.00014213254954386197
2020-09-30,110.51776446877197,110.5079020773266,110.53,0.0001107109910053094
2020-10-31,110.53064223429938,110.53,110.52,-9.62831128477776e-05
2020-11-30,110.5079020773266,110.52,110.52,0.00010947563428473601
2020-12-31,110.53,110.52,110.51,-0.0001809463494073647
2021-01-31,110.52,110.51,110.51,-9.048136083958474e-05
2021-02-28,110.52,110.51,110.51,-9.048136083958474e-05
2021-03-31,110.51,110.51,110.49,-0.00018097909691439898
2021-04-30,110.51,110.49,110.49,-0.00018097909691439898
2021-05-31,110.51,110.49,110.47,-0.0003619581938286694
2021-06-30,110.49,110.47,0.0,-1.0
2021-07-31,110.49,0.0,0.0,-1.0
2021-08-31,110.47,0.0,0.0,-1.0
