기간,자치구,노인 비율%(계),노인 비율%(남),노인 비율%(여)
2017,강남구,11.6,5.23,6.37
2017,강동구,12.75,5.8,6.95
2017,강북구,17.23,7.41,9.82
2017,강서구,12.5,5.51,6.99
2017,관악구,13.45,6.05,7.4
2017,광진구,11.81,5.26,6.55
2017,구로구,13.32,6.14,7.17
2017,금천구,13.48,6.14,7.34
2017,노원구,13.3,5.52,7.78
2017,도봉구,15.45,6.84,8.61
2017,동대문구,15.22,6.74,8.49
2017,동작구,14.02,6.12,7.9
2017,마포구,12.86,5.39,7.47
2017,서대문구,15.16,6.39,8.77
2017,서초구,11.95,5.42,6.53
2017,성동구,13.2,5.75,7.45
2017,성북구,14.55,6.27,8.27
2017,송파구,11.41,5.26,6.15
2017,양천구,11.63,5.19,6.44
2017,영등포구,13.43,6.06,7.36
2017,용산구,15.09,6.34,8.75
2017,은평구,15.18,6.58,8.6
2017,종로구,15.94,6.97,8.97
2017,중구,15.89,6.93,8.95
2017,중랑구,14.36,6.38,7.98
