기간,자치구,노인 비율%(계),노인 비율%(남),노인 비율%(여)
2020,강남구,13.8,6.19,7.62
2020,강동구,15.09,6.88,8.21
2020,강북구,20.36,8.75,11.6
2020,강서구,15.19,6.69,8.5
2020,관악구,15.47,6.89,8.59
2020,광진구,14.04,6.28,7.76
2020,구로구,16.23,7.4,8.84
2020,금천구,16.08,7.32,8.75
2020,노원구,16.22,6.85,9.37
2020,도봉구,18.96,8.47,10.49
2020,동대문구,17.31,7.7,9.61
2020,동작구,16.23,7.07,9.16
2020,마포구,14.23,5.97,8.26
2020,서대문구,16.78,7.12,9.67
2020,서초구,14.02,6.34,7.68
2020,성동구,15.18,6.62,8.55
2020,성북구,16.5,7.1,9.41
2020,송파구,13.87,6.4,7.47
2020,양천구,14.35,6.44,7.9
2020,영등포구,15.14,6.84,8.31
2020,용산구,16.45,7.0,9.45
2020,은평구,17.6,7.61,9.99
2020,종로구,17.93,7.96,9.97
2020,중구,18.19,8.05,10.15
2020,중랑구,17.38,7.78,9.6
