기간,자치구,전체인구(계),전체인구(남),전체인구(여),65세이상 인구(계),65세이상 인구(남),65세이상 인구(여),노인 비율%(계),노인 비율%(남),노인 비율%(여)
2017,종로구,164257,80094,84163,26182,11441,14741,15.94,6.97,8.97
2017,중구,134593,66337,68256,21384,9332,12052,15.89,6.93,8.95
2017,용산구,244444,119423,125021,36882,15489,21393,15.09,6.34,8.75
2017,성동구,312711,154077,158634,41273,17972,23301,13.2,5.75,7.45
2017,광진구,372298,180645,191653,43953,19565,24388,11.81,5.26,6.55
2017,동대문구,366011,181185,184826,55718,24655,31063,15.22,6.74,8.49
2017,중랑구,412780,205125,207655,59262,26316,32946,14.36,6.38,7.98
2017,성북구,455407,221103,234304,66251,28574,37677,14.55,6.27,8.27
2017,강북구,328002,160252,167750,56530,24311,32219,17.23,7.41,9.82
2017,도봉구,346234,169553,176681,53488,23688,29800,15.45,6.84,8.61
2017,노원구,558075,271025,287050,74243,30827,43416,13.3,5.52,7.78
2017,은평구,491202,238223,252979,74559,32323,42236,15.18,6.58,8.6
2017,서대문구,325028,155250,169778,49266,20776,28490,15.16,6.39,8.77
2017,마포구,385783,183248,202535,49615,20806,28809,12.86,5.39,7.47
2017,양천구,475018,234279,240739,55234,24641,30593,11.63,5.19,6.44
2017,강서구,608255,296175,312080,76032,33539,42493,12.5,5.51,6.99
2017,구로구,441559,221386,220173,58794,27117,31677,13.32,6.14,7.17
2017,금천구,253491,129775,123716,34170,15556,18614,13.48,6.14,7.34
2017,영등포구,402024,202400,199624,53981,24376,29605,13.43,6.06,7.36
2017,동작구,408493,198827,209666,57255,24994,32261,14.02,6.12,7.9
2017,관악구,520929,262006,258923,70046,31523,38523,13.45,6.05,7.4
2017,서초구,445401,213422,231979,53205,24135,29070,11.95,5.42,6.53
2017,강남구,561052,268941,292111,65060,29337,35723,11.6,5.23,6.37
2017,송파구,671173,326407,344766,76582,35274,41308,11.41,5.26,6.15
2017,강동구,440359,218699,221660,56161,25540,30621,12.75,5.8,6.95
